"los.4e","Freq"
"0",175
"1",678
"2",780
"3",619
"4",563
"5",419
"6",345
"7",324
"8",209
"9",197
"10",151
"11",160
"12",124
"13",104
"14",78
"15",59
"16",66
"17",57
"18",55
"19",34
"20",47
"21",40
"22",40
"23",37
"24",32
"25",28
"26",30
"27",24
"28",32
"29",16
"30",18
"31",29
"32",21
"33",21
"34",19
"35",23
"36",23
"37",18
"38",25
"39",13
"40",10
"41",15
"42",14
"43",14
"44",16
"45",15
"46",9
"47",4
"48",12
"49",11
"50",7
"51",9
"52",7
"53",14
"54",8
"55",6
"56",6
"57",9
"58",11
"59",5
"60",6
"61",5
"62",6
"63",6
"64",4
"65",8
"66",5
"67",2
"68",5
"69",3
"70",2
"71",9
"72",3
"73",4
"74",3
"75",1
"76",5
"77",3
"78",1
"79",2
"80",2
"81",8
"82",1
"83",3
"84",3
"85",3
"86",2
"87",2
"88",1
"89",2
"90",1
"91",2
"92",4
"93",3
"94",1
"95",2
"96",2
"97",5
"98",3
"99",1
"100",1
"104",2
"105",2
"106",1
"107",2
"110",2
"111",3
"114",2
"115",1
"116",3
"117",1
"119",1
"121",1
"122",4
"124",1
"125",1
"126",1
"129",1
"133",1
"138",1
"139",2
"142",1
"144",2
"146",1
"155",1
"161",1
"227",1
"241",1
