"los.4w","Freq"
"0",37
"1",41
"2",63
"3",46
"4",53
"5",42
"6",51
"7",46
"8",40
"9",39
"10",46
"11",36
"12",36
"13",27
"14",39
"15",28
"16",23
"17",17
"18",25
"19",31
"20",27
"21",38
"22",30
"23",27
"24",31
"25",22
"26",17
"27",20
"28",31
"29",15
"30",23
"31",14
"32",10
"33",17
"34",14
"35",20
"36",10
"37",15
"38",6
"39",16
"40",20
"41",11
"42",13
"43",14
"44",9
"45",12
"46",4
"47",7
"48",11
"49",7
"50",9
"51",8
"52",6
"53",10
"54",7
"55",9
"56",9
"57",4
"58",2
"59",6
"60",4
"61",11
"62",2
"63",10
"64",6
"65",6
"66",1
"67",1
"68",4
"69",3
"70",5
"71",3
"72",1
"73",4
"74",4
"75",1
"76",7
"77",3
"78",6
"79",2
"81",2
"82",1
"83",4
"84",4
"85",2
"86",3
"87",1
"88",4
"90",1
"91",5
"92",1
"94",2
"95",1
"96",1
"97",1
"98",2
"99",3
"100",1
"103",2
"105",2
"106",1
"108",3
"109",2
"110",1
"112",1
"114",1
"116",1
"117",1
"119",1
"122",1
"124",1
"129",1
"133",1
"138",1
"160",1
"226",1
